[2026-04-13 11:27:45] telemetry.individual.githubcopilot.com | Status: Normal (Allowlisted: *.githubcopilot.com) | Entropy: 4.02 | Length: 38 | Freq: 1
[2026-04-13 11:27:51] login.live.com | Status: Normal (Allowlisted: *.live.com) | Entropy: 3.24 | Length: 14 | Freq: 1
[2026-04-13 11:27:52] graph.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.58 | Length: 19 | Freq: 1
[2026-04-13 11:28:09] api.individual.githubcopilot.com | Status: Normal (Allowlisted: *.githubcopilot.com) | Entropy: 3.78 | Length: 32 | Freq: 1
[2026-04-13 11:28:11] mobile.events.data.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.80 | Length: 32 | Freq: 1
[2026-04-13 11:28:24] telemetry.individual.githubcopilot.com | Status: Normal (Allowlisted: *.githubcopilot.com) | Entropy: 4.02 | Length: 38 | Freq: 1
[2026-04-13 11:28:41] config.edge.skype.com | Status: Normal (Allowlisted: *.skype.com) | Entropy: 3.65 | Length: 21 | Freq: 1
[2026-04-13 11:28:42] edge.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.46 | Length: 18 | Freq: 1
[2026-04-13 11:28:42] www.bing.com | Status: Normal (Allowlisted: *.bing.com) | Entropy: 3.02 | Length: 12 | Freq: 1
[2026-04-13 11:28:42] substrate.office.com | Status: Normal (Allowlisted: *.office.com) | Entropy: 3.62 | Length: 20 | Freq: 1
[2026-04-13 11:28:43] prod.rewardsplatform.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.71 | Length: 34 | Freq: 1
[2026-04-13 11:28:43] aks-prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 4.06 | Length: 69 | Freq: 1
[2026-04-13 11:28:47] th.bing.com | Status: Normal (Allowlisted: *.bing.com) | Entropy: 3.28 | Length: 11 | Freq: 1
[2026-04-13 11:28:48] c.bing.com | Status: Normal (Allowlisted: *.bing.com) | Entropy: 2.92 | Length: 10 | Freq: 1
[2026-04-13 11:28:52] mobile.events.data.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.80 | Length: 32 | Freq: 1
[2026-04-13 11:28:56] mobile.events.data.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.80 | Length: 32 | Freq: 2
[2026-04-13 11:29:07] www.bing.com | Status: Normal (Allowlisted: *.bing.com) | Entropy: 3.02 | Length: 12 | Freq: 1
[2026-04-13 11:29:10] substrate.office.com | Status: Normal (Allowlisted: *.office.com) | Entropy: 3.62 | Length: 20 | Freq: 1
[2026-04-13 11:29:10] v10.events.data.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.84 | Length: 29 | Freq: 1
[2026-04-13 11:29:37] wpad.taild2c74c.ts.net | Status: Suspicious - confidence 0% | Entropy: 3.75 | Length: 22 | Freq: 6
[2026-04-13 11:29:37] edge-consumer-static.azureedge.net | Status: Suspicious - confidence 74% | Entropy: 3.78 | Length: 34 | Freq: 1
[2026-04-13 11:29:37] edge-consumer-static.azureedge.net | Status: Suspicious - confidence 74% | Entropy: 3.78 | Length: 34 | Freq: 2
[2026-04-13 11:29:37] update.googleapis.com | Status: Normal (Allowlisted: *.googleapis.com) | Entropy: 3.69 | Length: 21 | Freq: 1
[2026-04-13 11:29:39] substrate.office.com | Status: Normal (Allowlisted: *.office.com) | Entropy: 3.62 | Length: 20 | Freq: 1
[2026-04-13 11:29:42] vscode-sync.trafficmanager.net | Status: Normal (Allowlisted: *.trafficmanager.net) | Entropy: 3.94 | Length: 30 | Freq: 1
[2026-04-13 11:29:43] mobile.events.data.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.80 | Length: 32 | Freq: 1
[2026-04-13 11:30:44] mobile.events.data.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.80 | Length: 32 | Freq: 1
[2026-04-13 11:30:55] www.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 2.84 | Length: 14 | Freq: 1
[2026-04-13 11:30:55] www.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 2.84 | Length: 14 | Freq: 2
[2026-04-13 11:30:56] gemini.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.06 | Length: 17 | Freq: 1
[2026-04-13 11:30:56] www.gstatic.com | Status: Normal (Allowlisted: *.gstatic.com) | Entropy: 3.19 | Length: 15 | Freq: 1
[2026-04-13 11:30:56] fonts.gstatic.com | Status: Normal (Allowlisted: *.gstatic.com) | Entropy: 3.34 | Length: 17 | Freq: 1
[2026-04-13 11:30:57] gemini.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.06 | Length: 17 | Freq: 2
[2026-04-13 11:30:57] oauthaccountmanager.googleapis.com | Status: Normal (Allowlisted: *.googleapis.com) | Entropy: 3.77 | Length: 34 | Freq: 1
[2026-04-13 11:30:57] www.gstatic.com | Status: Normal (Allowlisted: *.gstatic.com) | Entropy: 3.19 | Length: 15 | Freq: 2
[2026-04-13 11:30:57] fonts.gstatic.com | Status: Normal (Allowlisted: *.gstatic.com) | Entropy: 3.34 | Length: 17 | Freq: 2
[2026-04-13 11:30:57] oauthaccountmanager.googleapis.com | Status: Normal (Allowlisted: *.googleapis.com) | Entropy: 3.77 | Length: 34 | Freq: 2
[2026-04-13 11:30:57] main.vscode-cdn.net | Status: Normal (Allowlisted: *.vscode-cdn.net) | Entropy: 3.58 | Length: 19 | Freq: 1
[2026-04-13 11:30:57] main.vscode-cdn.net | Status: Normal (Allowlisted: *.vscode-cdn.net) | Entropy: 3.58 | Length: 19 | Freq: 2
[2026-04-13 11:30:57] securetoken.googleapis.com | Status: Normal (Allowlisted: *.googleapis.com) | Entropy: 3.78 | Length: 26 | Freq: 1
[2026-04-13 11:30:57] securetoken.googleapis.com | Status: Normal (Allowlisted: *.googleapis.com) | Entropy: 3.78 | Length: 26 | Freq: 2
[2026-04-13 11:30:58] safebrowsing.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.71 | Length: 23 | Freq: 1
