Smart DNS Traffic Analyzer Report
==========================================
Generated: 2026-04-13T11:55:00
Total packets: 78
Normal: 76
Suspicious: 2
Spoofing/Blocked: 0

Details
------------------------------------------
[2026-04-13 11:50:51] mobile.events.data.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.80 | Length: 32 | Freq: 1
[2026-04-13 11:50:51] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-13 11:51:14] main.vscode-cdn.net | Status: Normal (Allowlisted: *.vscode-cdn.net) | Entropy: 3.58 | Length: 19 | Freq: 1
[2026-04-13 11:51:14] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-13 11:51:16] telemetry.individual.githubcopilot.com | Status: Normal (Allowlisted: *.githubcopilot.com) | Entropy: 4.02 | Length: 38 | Freq: 1
[2026-04-13 11:51:16] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-13 11:51:32] web.whatsapp.com | Status: Normal | Entropy: 3.50 | Length: 16 | Freq: 1
[2026-04-13 11:51:32] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-13 11:51:33] self.events.data.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.74 | Length: 30 | Freq: 1
[2026-04-13 11:51:33] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-13 11:51:46] alive.github.com | Status: Normal (Allowlisted: *.github.com) | Entropy: 3.75 | Length: 16 | Freq: 1
[2026-04-13 11:51:46] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-13 11:51:49] accounts.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.37 | Length: 19 | Freq: 1
[2026-04-13 11:51:49] beacons.gcp.gvt2.com | Status: Normal (Allowlisted: *.gcp.gvt2.com) | Entropy: 3.65 | Length: 20 | Freq: 1
[2026-04-13 11:51:51] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-13 11:51:51] accounts.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.37 | Length: 19 | Freq: 2
[2026-04-13 11:51:51] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-13 11:51:51] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-13 11:51:51] mobile.events.data.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.80 | Length: 32 | Freq: 1
[2026-04-13 11:51:52] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-13 11:51:52] api2.amplitude.com | Status: Normal | Entropy: 3.61 | Length: 18 | Freq: 1
