Smart DNS Traffic Analyzer Report
==========================================
Generated: 2026-04-14T13:46:06
Total packets: 1097
Normal: 1025
Suspicious: 63
Spoofing/Blocked: 9

Details
------------------------------------------
[2026-04-14 13:31:13] browser-intake-us5-datadoghq.com | Status: Suspicious — confidence 98% | Entropy: 4.24 | Length: 32 | Freq: 1
[2026-04-14 13:31:14] browser-intake-us5-datadoghq.com | Status: Suspicious — confidence 98% | Entropy: 4.24 | Length: 32 | Freq: 2
[2026-04-14 13:31:33] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:33] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:33] beacons.gcp.gvt2.com | Status: Normal (Allowlisted: *.gcp.gvt2.com) | Entropy: 3.65 | Length: 20 | Freq: 1
[2026-04-14 13:31:33] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:41] a-api.anthropic.com | Status: Normal | Entropy: 3.47 | Length: 19 | Freq: 1
[2026-04-14 13:31:41] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:41] ogads-pa.clients6.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.82 | Length: 28 | Freq: 1
[2026-04-14 13:31:41] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:42] ol-collector.quillbot.com | Status: Normal | Entropy: 3.36 | Length: 25 | Freq: 1
[2026-04-14 13:31:42] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:42] gemini.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.06 | Length: 17 | Freq: 1
[2026-04-14 13:31:42] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:42] safebrowsing.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.71 | Length: 23 | Freq: 1
[2026-04-14 13:31:42] safebrowsing.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.71 | Length: 23 | Freq: 2
[2026-04-14 13:31:42] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:42] www.gstatic.com | Status: Normal (Allowlisted: *.gstatic.com) | Entropy: 3.19 | Length: 15 | Freq: 1
[2026-04-14 13:31:48] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:48] lh3.googleusercontent.com | Status: Normal (Allowlisted: *.googleusercontent.com) | Entropy: 3.65 | Length: 25 | Freq: 1
[2026-04-14 13:31:48] www.googletagmanager.com | Status: Normal (Allowlisted: *.googletagmanager.com) | Entropy: 3.41 | Length: 24 | Freq: 1
[2026-04-14 13:31:48] waa-pa.clients6.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.84 | Length: 26 | Freq: 1
[2026-04-14 13:31:48] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:48] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:48] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:48] mobile.events.data.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.80 | Length: 32 | Freq: 1
[2026-04-14 13:31:49] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:49] fonts.gstatic.com | Status: Normal (Allowlisted: *.gstatic.com) | Entropy: 3.34 | Length: 17 | Freq: 1
[2026-04-14 13:31:49] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:51] www.google-analytics.com | Status: Normal | Entropy: 3.77 | Length: 24 | Freq: 1
[2026-04-14 13:31:51] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:51] analytics.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.58 | Length: 20 | Freq: 1
[2026-04-14 13:31:56] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:56] api2.amplitude.com | Status: Normal | Entropy: 3.61 | Length: 18 | Freq: 1
[2026-04-14 13:31:56] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:31:59] encrypted-tbn0.gstatic.com | Status: Normal (Allowlisted: *.gstatic.com) | Entropy: 3.98 | Length: 26 | Freq: 1
[2026-04-14 13:31:59] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:01] ogs.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 2.75 | Length: 14 | Freq: 1
[2026-04-14 13:32:01] ogs.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 2.75 | Length: 14 | Freq: 2
[2026-04-14 13:32:02] collector.quillbot.com | Status: Normal | Entropy: 3.33 | Length: 22 | Freq: 1
[2026-04-14 13:32:02] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:02] ogs.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 2.75 | Length: 14 | Freq: 3
[2026-04-14 13:32:02] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:04] www.googleadservices.com | Status: Normal (Allowlisted: *.googleadservices.com) | Entropy: 3.66 | Length: 24 | Freq: 1
[2026-04-14 13:32:04] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:05] cacerts.digicert.com | Status: Normal | Entropy: 3.42 | Length: 20 | Freq: 1
[2026-04-14 13:32:05] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:06] www.malware-test.com | Status: Normal | Entropy: 3.42 | Length: 20 | Freq: 1
[2026-04-14 13:32:06] www.malware-test.com | Status: Normal | Entropy: 3.42 | Length: 20 | Freq: 2
[2026-04-14 13:32:07] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:07] euob.primecirclenet.com | Status: Normal | Entropy: 3.53 | Length: 23 | Freq: 1
[2026-04-14 13:32:07] euob.primecirclenet.com | Status: Normal | Entropy: 3.53 | Length: 23 | Freq: 2
[2026-04-14 13:32:07] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:09] www.dynadot.com | Status: Normal | Entropy: 3.19 | Length: 15 | Freq: 1
[2026-04-14 13:32:09] www.dynadot.com | Status: Normal | Entropy: 3.19 | Length: 15 | Freq: 2
[2026-04-14 13:32:09] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:09] yfdpco4.com | Status: Normal | Entropy: 3.10 | Length: 11 | Freq: 1
[2026-04-14 13:32:10] yfdpco4.com | Status: Normal | Entropy: 3.10 | Length: 11 | Freq: 2
[2026-04-14 13:32:10] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:10] obseu.primecirclenet.com | Status: Normal | Entropy: 3.64 | Length: 24 | Freq: 1
[2026-04-14 13:32:10] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:11] l.cdn-fileserver.com | Status: Normal | Entropy: 3.68 | Length: 20 | Freq: 1
[2026-04-14 13:32:11] l.cdn-fileserver.com | Status: Normal | Entropy: 3.68 | Length: 20 | Freq: 2
[2026-04-14 13:32:11] realtimesearchresults.com | Status: Normal | Entropy: 3.54 | Length: 25 | Freq: 1
[2026-04-14 13:32:11] realtimesearchresults.com | Status: Normal | Entropy: 3.54 | Length: 25 | Freq: 2
[2026-04-14 13:32:12] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:12] realtimesearchresults.com | Status: Normal | Entropy: 3.54 | Length: 25 | Freq: 3
[2026-04-14 13:32:14] realtimesearchresults.com | Status: Normal | Entropy: 3.54 | Length: 25 | Freq: 4
[2026-04-14 13:32:18] realtimesearchresults.com | Status: Normal | Entropy: 3.54 | Length: 25 | Freq: 5
[2026-04-14 13:32:21] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:27] yfdpco1.com | Status: Normal | Entropy: 3.10 | Length: 11 | Freq: 1
[2026-04-14 13:32:27] yfdpco1.com | Status: Normal | Entropy: 3.10 | Length: 11 | Freq: 2
[2026-04-14 13:32:27] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:28] realtimesearchresults.com | Status: Normal | Entropy: 3.54 | Length: 25 | Freq: 2
[2026-04-14 13:32:28] realtimesearchresults.com | Status: Normal | Entropy: 3.54 | Length: 25 | Freq: 3
[2026-04-14 13:32:29] realtimesearchresults.com | Status: Normal | Entropy: 3.54 | Length: 25 | Freq: 3
[2026-04-14 13:32:31] realtimesearchresults.com | Status: Normal | Entropy: 3.54 | Length: 25 | Freq: 4
[2026-04-14 13:32:33] status.maxmind.com | Status: Normal | Entropy: 3.46 | Length: 18 | Freq: 1
[2026-04-14 13:32:33] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:35] realtimesearchresults.com | Status: Normal | Entropy: 3.54 | Length: 25 | Freq: 5
[2026-04-14 13:32:38] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:44] cdn.givefreely.com | Status: Normal | Entropy: 3.68 | Length: 18 | Freq: 1
[2026-04-14 13:32:44] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:46] cacerts.digicert.com | Status: Normal | Entropy: 3.42 | Length: 20 | Freq: 1
[2026-04-14 13:32:46] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:48] google.com | Status: Normal | Entropy: 2.65 | Length: 10 | Freq: 1
[2026-04-14 13:32:48] google.com | Status: Normal | Entropy: 2.65 | Length: 10 | Freq: 2
[2026-04-14 13:32:48] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:56] www.virustotal.com | Status: Normal | Entropy: 3.57 | Length: 18 | Freq: 1
[2026-04-14 13:32:56] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:56] recaptcha.net | Status: Normal | Entropy: 3.09 | Length: 13 | Freq: 1
[2026-04-14 13:32:56] fonts.googleapis.com | Status: Normal (Allowlisted: *.googleapis.com) | Entropy: 3.62 | Length: 20 | Freq: 1
[2026-04-14 13:32:56] recaptcha.net | Status: Normal | Entropy: 3.09 | Length: 13 | Freq: 2
[2026-04-14 13:32:56] fonts.googleapis.com | Status: Normal (Allowlisted: *.googleapis.com) | Entropy: 3.62 | Length: 20 | Freq: 2
[2026-04-14 13:32:56] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:56] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:56] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:32:56] e2c7.gcp.gvt2.com | Status: Normal (Allowlisted: *.gcp.gvt2.com) | Entropy: 3.29 | Length: 17 | Freq: 1
[2026-04-14 13:32:56] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:01] content-autofill.googleapis.com | Status: Normal (Allowlisted: *.googleapis.com) | Entropy: 3.82 | Length: 31 | Freq: 1
[2026-04-14 13:33:01] content-autofill.googleapis.com | Status: Normal (Allowlisted: *.googleapis.com) | Entropy: 3.82 | Length: 31 | Freq: 2
[2026-04-14 13:33:01] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:01] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:23] encrypted-tbn2.gstatic.com | Status: Normal (Allowlisted: *.gstatic.com) | Entropy: 3.98 | Length: 26 | Freq: 1
[2026-04-14 13:33:23] encrypted-tbn1.gstatic.com | Status: Normal (Allowlisted: *.gstatic.com) | Entropy: 3.98 | Length: 26 | Freq: 1
[2026-04-14 13:33:26] encrypted-tbn3.gstatic.com | Status: Normal (Allowlisted: *.gstatic.com) | Entropy: 3.98 | Length: 26 | Freq: 1
[2026-04-14 13:33:26] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:26] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:26] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:26] beacons.gvt2.com | Status: Normal | Entropy: 3.62 | Length: 16 | Freq: 1
[2026-04-14 13:33:28] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:28] ogs.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 2.75 | Length: 14 | Freq: 1
[2026-04-14 13:33:28] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:31] www.kaggle.com | Status: Normal | Entropy: 3.18 | Length: 14 | Freq: 1
[2026-04-14 13:33:31] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:31] accounts.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.37 | Length: 19 | Freq: 1
[2026-04-14 13:33:31] storage.googleapis.com | Status: Normal (Allowlisted: *.googleapis.com) | Entropy: 3.52 | Length: 22 | Freq: 1
[2026-04-14 13:33:31] stats.g.doubleclick.net | Status: Normal (Allowlisted: *.doubleclick.net) | Entropy: 3.76 | Length: 23 | Freq: 1
[2026-04-14 13:33:31] apis.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.32 | Length: 15 | Freq: 1
[2026-04-14 13:33:31] accounts.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 3.37 | Length: 19 | Freq: 2
[2026-04-14 13:33:31] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:31] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:31] stats.g.doubleclick.net | Status: Normal (Allowlisted: *.doubleclick.net) | Entropy: 3.76 | Length: 23 | Freq: 2
[2026-04-14 13:33:31] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:31] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:31] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:31] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:31] use.typekit.net | Status: Normal | Entropy: 3.14 | Length: 15 | Freq: 1
[2026-04-14 13:33:32] use.typekit.net | Status: Normal | Entropy: 3.14 | Length: 15 | Freq: 2
[2026-04-14 13:33:32] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:32] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:32] p.typekit.net | Status: Normal | Entropy: 2.87 | Length: 13 | Freq: 1
[2026-04-14 13:33:37] p.typekit.net | Status: Normal | Entropy: 2.87 | Length: 13 | Freq: 2
[2026-04-14 13:33:37] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:37] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:37] www.gstatic.com | Status: Normal (Allowlisted: *.gstatic.com) | Entropy: 3.19 | Length: 15 | Freq: 1
[2026-04-14 13:33:37] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:37] www.kaggleusercontent.com | Status: Normal | Entropy: 3.78 | Length: 25 | Freq: 1
[2026-04-14 13:33:37] www.kaggleusercontent.com | Status: Normal | Entropy: 3.78 | Length: 25 | Freq: 2
[2026-04-14 13:33:48] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:48] mobile.events.data.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.80 | Length: 32 | Freq: 1
[2026-04-14 13:33:48] mobile.events.data.microsoft.com | Status: Normal (Allowlisted: *.microsoft.com) | Entropy: 3.80 | Length: 32 | Freq: 2
[2026-04-14 13:33:49] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:49] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:49] analytics.kaggle.io | Status: Normal | Entropy: 3.58 | Length: 19 | Freq: 1
[2026-04-14 13:33:49] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:49] www.google.com | Status: Normal (Allowlisted: *.google.com) | Entropy: 2.84 | Length: 14 | Freq: 1
[2026-04-14 13:33:49] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:53] lh3.googleusercontent.com | Status: Normal (Allowlisted: *.googleusercontent.com) | Entropy: 3.65 | Length: 25 | Freq: 1
[2026-04-14 13:33:53] lh3.googleusercontent.com | Status: Normal (Allowlisted: *.googleusercontent.com) | Entropy: 3.65 | Length: 25 | Freq: 2
[2026-04-14 13:33:53] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:56] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
[2026-04-14 13:33:56] accounts.youtube.com | Status: Normal | Entropy: 3.41 | Length: 20 | Freq: 1
[2026-04-14 13:33:56] (response packet) | Status: Normal | Entropy: 0.00 | Length: 0 | Freq: 0
